tiempo,corriente,voltaje,potencia,SOC
177.0,-0.168836,3.580154,-0.604458880744,0.4018240090128205
178.0,-0.167416,3.580037,-0.599355474392,0.40183083464102565
179.0,-0.1671505,3.579839,-0.5983718787695,0.4018376260550214
180.0,-0.1654255,3.579511,-0.5921423969305001,0.4018443770635684
181.0,-0.1631395,3.579344,-0.5839323904879999,0.40185104665224364
182.0,-0.163658,3.579154,-0.5857571853319999,0.40185768036217956
183.0,-0.1614375,3.578903,-0.5777691530625,0.40186427952297016
184.0,-0.1613535,3.578592,-0.577418344272,0.4018708319043804
185.0,-0.159133,3.578419,-0.569444550727,0.4018773375064103
186.0,-0.159839,3.578181,-0.571932872859,0.4018838123653847
187.0,-0.157416,3.577896,-0.563218076736,0.40189025237072656
188.0,-0.156284,3.57764,-0.55912788976,0.4018966202126069
189.0,-0.15346,3.577378,-0.54898442788,0.40190290775106846
190.0,-0.153495,3.577157,-0.549075713715,0.4019091386752138
191.0,-0.179416,3.582061,-0.642679056376,0.40191589648397447
192.0,-0.1773625,3.581909,-0.6352963350125,0.40192313878258557
193.0,-0.1770215,3.58166,-0.63403082569,0.40193033247489324
194.0,-0.177208,3.581378,-0.634648832624,0.40193752303098296
195.0,-0.175747,3.581256,-0.629394998232,0.40194468771581204
196.0,-0.1732805,3.580978,-0.620513658329,0.40195177267574794
197.0,-0.172616,3.580677,-0.618082141032,0.40195879407905993
198.0,-0.1721195,3.580521,-0.6162774842595,0.4019657919150642
199.0,-0.1698575,3.5803,-0.60814080725,0.40197273375587617
200.0,-0.168549,3.579982,-0.603402386118,0.4019796031185898
201.0,-0.167666,3.579844,-0.600218124104,0.4019864279957266
202.0,-0.167552,3.579536,-0.5997584158720001,0.4019932326346155
203.0,-0.1645475,3.579322,-0.588968486795,0.40199997397061976
204.0,-0.163416,3.579074,-0.584877956784,0.4020066313493591
205.0,-0.1605885,3.578844,-0.574721189694,0.4020132083637822
206.0,-0.1623095,3.578594,-0.580839802843,0.402019762917201
207.0,-0.1591635,3.578335,-0.5695403227725001,0.40202628854433775
208.0,-0.157913,3.578076,-0.5650247153879999,0.40203272492628217
209.0,-0.156734,3.577757,-0.560756165638,0.4020391119914531
210.0,-0.1568925,3.577487,-0.5612808791475,0.40204547834134624
211.0,-0.155894,3.577273,-0.557675397062,0.40205182763995734
212.0,-0.154126,3.576924,-0.5512969884240001,0.40205812078098296
213.0,-0.151914,3.576674,-0.543346854036,0.4020643331314103
214.0,-0.1495205,3.576481,-0.5347572273605,0.402070451994124
215.0,-0.1488015,3.576169,-0.5321393114535,0.40207650767574793
216.0,-0.147969,3.575781,-0.529104738789,0.40208253186324794
217.0,-0.1441155,3.575557,-0.5152931848335001,0.40208846092895306
218.0,-0.145179,3.575285,-0.519056301015,0.4020943333600428
219.0,-0.14298,3.574992,-0.51115235616,0.40210018274145304
220.0,-0.142786,3.574688,-0.510415400768,0.4021059835470086
221.0,-0.1413785,3.574386,-0.505341331101,0.40211175184348297
222.0,-0.1396715,3.574124,-0.499203260266,0.4021174569182693
223.0,-0.1361785,3.573777,-0.4866715911945,0.40212305643750007
224.0,-0.1372065,3.573491,-0.4903061928915,0.4021286059193377
225.0,-0.135447,3.573217,-0.483981522999,0.4021341405523505
226.0,-0.133058,3.572852,-0.4753965414160001,0.4021395909743591
227.0,-0.1322075,3.572614,-0.472326365405,0.40214497563728646
228.0,-0.130005,3.572343,-0.464422451715,0.40215029832692323
229.0,-0.1274,3.572002,-0.4550730548,0.402155523428419
230.0,-0.128556,3.571754,-0.459170407224,0.4021607191164532
231.0,-0.126206,3.571428,-0.450735642168,0.4021658905673079
232.0,-0.126021,3.571095,-0.450032962995,0.40217101055982923
233.0,-0.123741,3.570768,-0.441850403088,0.40217608051495746
234.0,-0.122704,3.570496,-0.4381141411839999,0.4021810831378207
235.0,-0.1214715,3.570168,-0.4336736622119999,0.4021860396917737
236.0,-0.119258,3.569819,-0.425729474302,0.40219092629487196
237.0,-0.1159105,3.569514,-0.413744152497,0.40219570001442323
238.0,-0.1174895,3.569239,-0.4193481054905,0.40220043783493603
239.0,-0.114727,3.568923,-0.4094518290209999,0.4022051516314104
240.0,-0.1132675,3.568635,-0.4042103648624999,0.4022097797248933
